name,address,phone,website
武蔵野赤十字病院,東京都武蔵野市境南町1-26-1,0422-32-3111,https://www.musashino.jrc.or.jp/
公立昭和病院,東京都小平市花小金井8-1-1,042-461-0052,https://www.kouritu-showa.jp/
横浜市立大学附属病院,神奈川県横浜市金沢区福浦3-9,045-787-2800,https://www.yokohama-cu.ac.jp/fukuhp/
聖マリアンナ医科大学病院,神奈川県川崎市宮前区菅生2-16-1,044-977-8111,https://www.marianna-u.ac.jp/hospital/
北里大学病院,神奈川県相模原市南区北里1-15-1,042-778-8111,https://www.khp.kitasato-u.ac.jp/
東海大学医学部付属病院,神奈川県伊勢原市下糟屋143,0463-93-1121,https://www.u-tokai.ac.jp/med-hp/
昭和大学藤が丘病院,神奈川県横浜市青葉区藤が丘1-30,045-971-1151,https://www.showa-u.ac.jp/SUHF/
横浜労災病院,神奈川県横浜市港北区小机町3211,045-474-8111,https://www.yokohamah.johas.go.jp/
大阪大学医学部附属病院,大阪府吹田市山田丘2-15,06-6879-5111,https://www.hosp.med.osaka-u.ac.jp/
大阪市立大学医学部附属病院,大阪府大阪市阿倍野区旭町1-5-7,06-6645-2121,https://www.hosp.med.osaka-cu.ac.jp/
関西医科大学附属病院,大阪府枚方市新町2-5-1,072-804-0101,https://www.kmu.ac.jp/hirakata/
大阪医科薬科大学病院,大阪府高槻市大学町2-7,072-683-1221,https://hospital.osaka-med.ac.jp/
近畿大学病院,大阪府大阪狭山市大野東377-2,072-366-0221,https://www.med.kindai.ac.jp/
大阪赤十字病院,大阪府大阪市天王寺区筆ヶ崎町5-30,06-6774-5111,https://www.osaka-med.jrc.or.jp/
名古屋大学医学部附属病院,愛知県名古屋市昭和区鶴舞町65,052-741-2111,https://www.med.nagoya-u.ac.jp/hospital/
藤田医科大学病院,愛知県豊明市沓掛町田楽ヶ窪1-98,0562-93-2111,https://www.fujita-hu.ac.jp/hospital/
愛知医科大学病院,愛知県長久手市岩作雁又1-1,0561-62-3311,https://www.aichi-med-u.ac.jp/hospital/
名古屋市立大学病院,愛知県名古屋市瑞穂区瑞穂町字川澄1,052-851-5511,https://w3hosp.med.nagoya-cu.ac.jp/
九州大学病院,福岡県福岡市東区馬出3-1-1,092-641-1151,https://www.hosp.kyushu-u.ac.jp/
福岡大学病院,福岡県福岡市城南区七隈7-45-1,092-801-1011,https://www.hop.fukuoka-u.ac.jp/
久留米大学病院,福岡県久留米市旭町67,0942-35-3311,https://www.kurume-u.ac.jp/hospital/
北海道大学病院,北海道札幌市北区北14条西5丁目,011-716-1161,https://www.huhp.hokudai.ac.jp/
札幌医科大学附属病院,北海道札幌市中央区南1条西16丁目,011-611-2111,https://web.sapmed.ac.jp/hospital/
東北大学病院,宮城県仙台市青葉区星陵町1-1,022-717-7000,https://www.hosp.tohoku.ac.jp/
広島大学病院,広島県広島市南区霞1-2-3,082-257-5555,https://www.hiroshima-u.ac.jp/hosp
岡山大学病院,岡山県岡山市北区鹿田町2-5-1,086-223-7151,https://www.okayama-u.ac.jp/user/hospital/
金沢大学附属病院,石川県金沢市宝町13-1,076-265-2000,https://web.hosp.kanazawa-u.ac.jp/
新潟大学医歯学総合病院,新潟県新潟市中央区旭町通1-754,025-223-6161,https://www.nuh.niigata-u.ac.jp/
信州大学医学部附属病院,長野県松本市旭3-1-1,0263-35-4600,https://www.shinshu-u.ac.jp/hp/
群馬大学医学部附属病院,群馬県前橋市昭和町3-39-15,027-220-7111,https://hospital.med.gunma-u.ac.jp/
筑波大学附属病院,茨城県つくば市天久保2-1-1,029-853-3900,https://www.hosp.tsukuba.ac.jp/
千葉大学医学部附属病院,千葉県千葉市中央区亥鼻1-8-1,043-222-7171,https://www.ho.chiba-u.ac.jp/
日本医科大学付属病院,東京都文京区千駄木1-1-5,03-3822-2131,https://www.nms.ac.jp/hospital/
東京歯科大学市川総合病院,千葉県市川市菅野5-11-13,047-322-0151,https://www.tdc.ac.jp/hospital/
埼玉医科大学病院,埼玉県入間郡毛呂山町毛呂本郷38,049-276-1111,https://www.saitama-med.ac.jp/hospital/
自治医科大学附属病院,栃木県下野市薬師寺3311-1,0285-44-2111,https://www.jichi.ac.jp/hospital/
獨協医科大学病院,栃木県下都賀郡壬生町北小林880,0282-86-1111,https://www.dokkyomed.ac.jp/hosp-m/
三重大学医学部附属病院,三重県津市江戸橋2-174,059-232-1111,https://www.medic.mie-u.ac.jp/
京都大学医学部附属病院,京都府京都市左京区聖護院川原町54,075-751-3111,https://www.kuhp.kyoto-u.ac.jp/
京都府立医科大学附属病院,京都府京都市上京区河原町通広小路上ル梶井町465,075-251-5111,https://www.h.kpu-m.ac.jp/
神戸大学医学部附属病院,兵庫県神戸市中央区楠町7-5-2,078-382-5111,https://www.hosp.kobe-u.ac.jp/
兵庫医科大学病院,兵庫県西宮市武庫川町1-1,0798-45-6111,https://www.hosp.hyo-med.ac.jp/
奈良県立医科大学附属病院,奈良県橿原市四条町840,0744-22-3051,https://www.naramed-u.ac.jp/hospital/
和歌山県立医科大学附属病院,和歌山県和歌山市紀三井寺811-1,073-447-2300,https://www.wakayama-med.ac.jp/hospital/
鳥取大学医学部附属病院,鳥取県米子市西町36-1,0859-33-1111,https://www2.hosp.med.tottori-u.ac.jp/
島根大学医学部附属病院,島根県出雲市塩冶町89-1,0853-23-2111,https://www.med.shimane-u.ac.jp/hospital/
山口大学医学部附属病院,山口県宇部市南小串1-1-1,0836-22-2111,https://www.hosp.yamaguchi-u.ac.jp/
徳島大学病院,徳島県徳島市蔵本町2-50-1,088-631-3111,https://www.tokushima-hosp.jp/
香川大学医学部附属病院,香川県木田郡三木町池戸1750-1,087-898-5111,https://www.med.kagawa-u.ac.jp/hospital/
愛媛大学医学部附属病院,愛媛県東温市志津川,089-964-5111,https://www.hsp.ehime-u.ac.jp/
高知大学医学部附属病院,高知県南国市岡豊町小蓮,088-866-5811,https://www.kochi-ms.ac.jp/~hsptl/
長崎大学病院,長崎県長崎市坂本1-7-1,095-819-7200,https://www.mh.nagasaki-u.ac.jp/
熊本大学病院,熊本県熊本市中央区本荘1-1-1,096-344-2111,https://www.kuh.kumamoto-u.ac.jp/
大分大学医学部附属病院,大分県由布市挾間町医大ヶ丘1-1,097-549-4411,https://www.med.oita-u.ac.jp/hospital/
宮崎大学医学部附属病院,宮崎県宮崎市清武町木原5200,0985-85-1510,https://www.miyazaki-u.ac.jp/hospital/
鹿児島大学病院,鹿児島県鹿児島市桜ヶ丘8-35-1,099-275-5111,https://com4.kufm.kagoshima-u.ac.jp/
琉球大学医学部附属病院,沖縄県中頭郡西原町上原207,098-895-3331,https://www.hosp.u-ryukyu.ac.jp/
国立国際医療研究センター病院,東京都新宿区戸山1-21-1,03-3202-7181,https://www.hosp.ncgm.go.jp/
国立成育医療研究センター,東京都世田谷区大蔵2-10-1,03-3416-0181,https://www.ncchd.go.jp/
国立循環器病研究センター,大阪府吹田市岸部新町6-1,06-6170-1070,https://www.ncvc.go.jp/
国立精神・神経医療研究センター病院,東京都小平市小川東町4-1-1,042-341-2711,https://www.ncnp.go.jp/hospital/
静岡県立総合病院,静岡県静岡市葵区北安東4-27-1,054-247-6111,https://www.shizuoka-pho.jp/hospital/
神奈川県立がんセンター,神奈川県横浜市旭区中尾2-3-2,045-520-2222,https://kcch.kanagawa-pho.jp/
愛知県がんセンター,愛知県名古屋市千種区鹿子殿1-1,052-762-6111,https://www.pref.aichi.jp/cancer-center/
兵庫県立がんセンター,兵庫県明石市北王子町13-70,078-929-1151,https://www.hyogo-cc.jp/
福岡県済生会福岡総合病院,福岡県福岡市中央区天神1-3-46,092-771-8151,https://www.saiseikai-fukuoka.or.jp/
済生会熊本病院,熊本県熊本市南区近見5-3-1,096-351-8000,https://sk-kumamoto.jp/
東京ベイ・浦安市川医療センター,千葉県浦安市当代島3-4-32,047-351-3101,https://www.tokyobay-mc.jp/
湘南鎌倉総合病院,神奈川県鎌倉市岡本1370-1,0467-46-1717,https://www.skgh.jp/
戸塚共立第1病院,神奈川県横浜市戸塚区戸塚町116,045-864-2501,https://www.tkh.or.jp/
相模原協同病院,神奈川県相模原市緑区橋本2-8-18,042-772-4291,https://www.sagamiharahp.com/
鎌ケ谷総合病院,千葉県鎌ケ谷市初富929-6,047-498-8111,https://www.kamagaya-hp.jp/
船橋市立医療センター,千葉県船橋市金杉1-21-1,047-438-3321,https://www.mmc.funabashi.chiba.jp/
松戸市立総合医療センター,千葉県松戸市千駄堀993-1,047-712-2511,https://www.city.matsudo.chiba.jp/hospital/
柏厚生総合病院,千葉県柏市篠籠田617,04-7145-1111,https://www.kashiwakousei.or.jp/
成田赤十字病院,千葉県成田市飯田町90-1,0476-22-2311,https://www.narita.jrc.or.jp/
千葉県済生会習志野病院,千葉県習志野市泉町1-1-1,047-473-1281,https://www.chiba-saiseikai.com/
船橋中央病院,千葉県船橋市海神6-13-10,047-433-2111,https://www.funabashi-central-hospital.jp/
川崎市立川崎病院,神奈川県川崎市川崎区新川通12-1,044-233-5521,https://www.city.kawasaki.jp/33/cmsfiles/contents/0000040/40432/
川崎市立井田病院,神奈川県川崎市中原区井田2-27-1,044-766-2188,https://www.city.kawasaki.jp/35/cmsfiles/contents/0000040/40528/
横須賀市立市民病院,神奈川県横須賀市長坂1-3-2,046-856-3136,https://www.yokosukacityhospital.jp/
